18794650,0,0,0,0,1,0,0,0
1113188,1,0,0,0,0,0,0,0
16643855,1,0,0,0,0,0,0,0
18152373,0,0,1,0,0,0,0,0
18209147,0,0,1,0,0,0,0,0
21770587,1,0,0,0,0,0,0,0
23412504,0,0,1,0,0,0,0,0
23755589,1,0,0,0,0,0,0,0
24118525,0,0,0,0,0,0,0,1
12093921,0,0,0,0,0,0,0,1
18150976,0,0,0,0,0,0,0,1
20011284,1,0,0,0,0,0,0,0
23391256,1,0,0,0,0,0,0,0
24077426,0,0,0,0,0,0,0,1
24117128,0,0,0,0,0,0,0,1
4011103,1,0,1,0,0,0,0,0
15980330,1,0,0,0,0,0,0,0
19073991,1,0,0,0,0,0,0,0
21402078,0,0,0,0,0,0,1,0
23111915,1,0,1,0,0,0,0,0
23474851,0,0,1,0,0,0,0,0
23503069,0,0,0,0,0,0,0,1
8166751,1,0,0,0,0,0,0,0
15231813,0,0,1,0,0,0,0,0
15001938,1,0,0,0,0,0,0,0
15671374,1,0,0,0,0,0,0,0
21943688,1,0,1,0,0,0,0,0
21988978,0,0,0,0,1,0,0,0
21855579,1,0,0,0,0,0,0,0
23089270,0,0,0,0,0,0,0,1
23384286,1,0,0,0,0,0,0,0
24405174,0,0,0,0,0,0,0,1
365730,0,0,0,0,1,0,0,0
16704805,0,0,0,0,0,0,0,1
22308021,1,0,0,0,0,0,0,0
22296537,1,0,1,0,0,0,0,0
23504466,0,0,0,0,0,0,0,1
24054781,0,0,0,0,0,0,0,1
24230338,0,0,0,0,0,0,0,1
1002434,0,0,0,0,0,0,0,1
1816415,0,0,0,0,1,0,0,0
12143725,1,0,0,0,0,0,0,0
16572803,1,0,1,0,0,0,0,0
18044736,1,0,1,0,0,0,0,0
22471035,1,0,0,0,0,0,0,0
24229279,0,0,0,0,0,0,0,1
24209090,0,0,0,0,0,0,0,1
527347,1,0,0,0,0,0,0,0
8076186,0,0,0,0,1,0,0,0
15669977,1,0,1,0,1,0,0,0
